year,GDP
1961,563.30
1962,605.10
1963,638.60
1964,685.80
1965,743.70
1966,815.00
1967,861.70
1968,942.50
1969,1019.90
1970,1073.30
1971,1164.85
1972,1279.11
1973,1425.38
1974,1545.24
1975,1684.90
1976,1873.41
1977,2081.83
1978,2351.60
1979,2627.33
1980,2857.31
1981,3207.04
1982,3343.79
1983,3634.04
1984,4037.61
1985,4338.98
1986,4579.63
1987,4855.22
1988,5236.44
1989,5641.58
1990,5963.14
1991,6158.13
1992,6520.33
1993,6858.56
1994,7287.24
1995,7639.75
1996,8073.12
1997,8577.55
1998,9062.82
1999,9631.17
2000,10250.95
2001,10581.93
2002,10929.11
2003,11456.44
2004,12217.19
2005,13039.20
2006,13815.59
2007,14474.23
2008,14769.86
2009,14478.06
2010,15048.96
2011,15599.73
2012,16253.97
2013,16843.19
2014,17550.68
2015,18206.02
2016,18695.11
2017,19477.34
2018,20533.06
2019,21380.98
2020,21060.47
2021,23315.08
