fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Tom Aaron,,155 lbs.,,,13-Jul-78,1,0,0,0,0,0,0,0
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,30-Jun-78,3,1,3,0,3,1,1,1
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,2,0,2,1,1,0,0,0
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,3-Jul-83,3,0,4,1,0,0,1,0
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,2,0,3,1,0,0,0,0
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,27-Apr-84,4,0,4,1,2,0,1,1
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91,4,0,4,1,0,1,0,0
David Abbott,"6' 0""",265 lbs.,,Switch,,1,0,4,0,1,0,1,0
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,24-Dec-92,2,0,3,1,1,0,1,0
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,27-Dec-77,4,0,3,1,0,0,1,0
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,1,0,0,0,0,0,0,0
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,7,1,4,0,1,1,1,0
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,13-Jan-88,3,0,6,0,0,0,0,0
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,26-Apr-65,0,0,0,0,0,0,0,0
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,4,0,3,1,0,0,1,0
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,29-Jul-92,2,0,3,1,0,0,0,0
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,1,0,0,0,0,0,0,0
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,13-Jan-79,1,0,5,0,0,0,0,0
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,7-Apr-97,4,1,4,0,1,1,0,1
Edwin Aguilar,"5' 10""",185 lbs.,,,,1,0,0,0,0,0,0,0
Fabio Aguiar,"6' 0""",185 lbs.,,,10-Feb-88,0,0,0,0,0,0,0,0
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,8-May-82,5,1,7,1,1,0,1,0
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,7-Sep-88,4,0,4,1,0,0,1,0
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,25-Nov-91,3,0,5,0,0,0,0,0
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,27-Jul-74,1,0,3,1,0,0,0,1
Mike Aina,"5' 9""",155 lbs.,,Orthodox,,3,0,6,1,0,0,1,0
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,19-Dec-91,2,0,4,1,1,0,1,0
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,12-Oct-87,3,0,3,1,3,0,1,0
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,14-May-82,3,0,3,1,1,0,1,0
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,29-Jul-75,3,0,4,1,2,1,1,1
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,7-Jun-91,4,1,7,0,2,1,0,0
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,14-Jul-73,1,0,4,1,0,0,0,0
Javi Alanis,"5' 6""",135 lbs.,,,,1,0,0,0,0,0,0,0
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,14-Dec-91,3,0,6,1,2,0,1,0
Brett Albee,,225 lbs.,,,,1,0,0,0,0,0,0,0
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,27-Oct-93,4,0,3,1,2,1,1,1
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,1,0,0,0,0,0,0,0
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,13-Oct-86,3,0,3,0,0,0,1,6
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,5,0,6,0,2,1,1,0
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,15-Mar-91,4,1,6,1,2,0,1,0
Israel Albuquerque,,185 lbs.,,Orthodox,,0,0,3,0,0,0,0,0
Juan Alcain,,,,,,0,0,0,0,0,0,0,0
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,18-Nov-82,2,0,3,1,2,1,1,1
Alfonso Alcarez,"5' 3""",145 lbs.,,,10-Jun-70,0,0,0,0,0,0,0,0
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,4-Aug-80,3,0,3,0,1,1,1,1
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,25-Aug-77,3,1,6,0,3,0,0,0
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,17-Aug-88,4,0,5,1,1,1,0,0
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,26-Mar-88,6,0,6,1,0,1,1,0
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,29-Sep-92,4,0,5,1,1,0,1,0
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,9-Sep-86,3,0,4,1,1,1,1,0
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,25-Sep-77,1,0,2,1,5,0,0,0
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,14-Oct-86,3,0,4,1,2,0,1,0
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,22-Mar-72,3,1,3,1,1,1,0,0
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,5-Jul-79,2,0,3,1,2,0,1,1
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,5-May-89,2,0,3,0,0,0,1,1
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,6-Aug-74,2,0,5,1,0,0,0,1
Pablo Alfonso,"5' 8""",145 lbs.,,,9-May-83,0,0,0,0,0,0,0,0
Levi Alford,,,,,,0,0,0,0,0,0,0,0
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,9-Jun-89,7,1,5,0,1,0,1,0
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Amir Aliakbari,"6' 3""",250 lbs.,,,10-Jun-84,0,0,0,0,0,0,0,0
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,17-Sep-84,1,0,2,1,2,0,1,0
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,22-Feb-93,3,0,4,1,2,1,1,1
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,3,0,2,1,1,1,1,1
George Allen,"6' 2""",205 lbs.,,Open Stance,13-Jan-67,1,0,3,0,0,0,1,0
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,19-Feb-81,1,0,2,1,1,1,0,0
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,28-Dec-95,4,1,5,0,1,0,1,2
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,29-Nov-76,2,0,1,1,4,0,0,1
Magno Almeida,"6' 0""",155 lbs.,,,6-Jun-85,2,0,3,0,0,0,0,5
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,31-Jul-91,5,0,5,1,0,0,1,0
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,5-Mar-89,1,0,3,0,1,0,0,0
Mauricio Alonso,"6' 2""",170 lbs.,,,27-Feb-80,6,0,2,1,0,0,0,0
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,17-Oct-88,3,0,6,0,0,0,0,0
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,1-Jun-91,2,1,5,0,3,0,1,1
Rico Altamirano,"5' 10""",170 lbs.,,,,0,0,0,0,0,0,0,0
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,23-Sep-90,2,0,2,1,4,0,1,1
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,2,0,2,1,0,0,0,0
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,14-Jul-71,1,0,3,0,0,0,0,0
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,8-Mar-88,3,0,5,1,1,0,1,0
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2-Mar-94,3,0,3,1,0,0,0,2
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,4,0,4,1,3,0,1,1
Anthony Alves,,,,,,0,0,0,0,0,0,0,0
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,8-Aug-88,1,0,2,0,0,0,1,0
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,3-Oct-83,4,0,3,1,1,1,1,0
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,10-Oct-90,2,0,4,1,0,0,1,2
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,4-Jan-91,3,0,4,1,1,1,1,1
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2,0,6,1,0,0,0,0
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,11-Jul-87,6,0,24,0,0,0,1,0
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86,3,0,1,1,6,1,1,0
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,6-May-86,3,0,3,1,0,0,1,0
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,26-Jan-70,1,0,4,0,3,1,1,1
Chris Amarante,,185 lbs.,,,,0,0,0,0,0,0,0,0
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3,1,6,0,0,0,1,0
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,1,0,3,0,0,0,0,0
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,8-Nov-88,1,0,3,1,3,0,1,1
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,7,0,2,1,0,0,0,0
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,3,0,4,1,2,0,1,0
Andy Anderson,"5' 6""",240 lbs.,,,16-Jul-74,0,0,0,0,0,0,0,0
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,21-Nov-85,1,0,3,1,0,0,0,1
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,29-May-71,0,0,0,0,0,0,0,0
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Derek Anderson,"6' 0""",155 lbs.,,,2-Feb-90,4,0,3,1,0,0,1,0
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89,4,0,2,1,5,1,1,0
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,11-Feb-90,2,0,3,0,1,0,1,1
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,8-Mar-84,3,0,3,1,2,1,1,0
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,14-May-74,0,0,3,1,0,0,0,1
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91,6,0,5,1,3,1,1,0
Reese Andy,"6' 0""",205 lbs.,,Orthodox,31-Mar-73,3,1,4,1,1,0,0,0
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,15-Nov-79,2,1,3,0,3,1,1,0
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,23-Jul-91,5,1,2,1,4,1,1,1
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,20-Feb-93,6,1,3,1,3,1,1,0
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,2-Jun-92,3,1,2,1,1,0,1,0
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,28-Mar-67,0,0,3,0,0,0,0,0
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,3-Dec-85,5,0,4,1,0,0,1,1
Angelo Antonio,,205 lbs.,,Orthodox,,1,1,8,1,0,0,0,0
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82,6,1,5,1,0,0,1,0
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,9-Feb-87,2,1,4,0,5,0,0,1
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,5-Aug-81,2,0,2,1,1,1,0,0
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,1-Dec-85,3,1,4,0,2,0,1,0
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,19-Jun-83,1,0,12,0,0,0,0,0
Aori Qileng,"5' 7""",125 lbs.,,,25-Jun-93,0,0,0,0,0,0,0,0
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,5-Oct-79,9,0,10,0,0,0,0,0
Erik Apple,"6' 0""",170 lbs.,,Orthodox,26-Aug-77,0,0,1,1,0,0,0,8
Romie Aram,"5' 10""",170 lbs.,,Orthodox,2-Dec-77,2,0,3,1,3,1,1,0
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,9-May-83,1,1,1,1,3,0,1,4
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,6-Dec-80,2,0,3,0,1,0,0,1
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,9-Feb-88,2,0,3,1,1,0,0,1
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,4,0,3,1,1,0,1,1
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,21-Nov-86,5,0,5,1,2,1,1,0
Art Arciniega,"5' 8""",145 lbs.,,,15-Oct-81,2,0,3,1,0,0,1,1
Tristan Arenal,,155 lbs.,,,,0,0,0,0,0,0,0,0
Joey Armstrong,,,,,,0,0,0,0,0,0,0,0
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,4-Feb-79,3,0,3,1,0,0,1,0
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83,2,0,4,1,1,1,0,0
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,17-Jul-78,2,0,1,1,2,0,1,1
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,28-May-75,2,0,2,1,3,1,0,1
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91,5,0,6,1,0,0,1,0
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,1-Sep-82,2,0,2,1,2,0,1,5
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,1-Jul-89,3,1,2,0,1,0,0,0
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0,0,2,0,0,0,0,0
Veta Arteaga,"5' 7""",125 lbs.,,,,3,0,2,1,0,0,0,0
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,27-Dec-89,7,1,7,0,0,0,1,0
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,31-Jan-91,5,0,5,1,7,1,0,2
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,19-Aug-94,0,0,0,0,0,0,0,0
Arman Ashimov,"5' 6""",125 lbs.,,,14-Jan-92,0,0,0,0,0,0,0,0
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,9-Oct-92,3,1,3,1,3,0,1,0
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,3,0,6,0,4,1,1,1
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,20-May-88,3,0,4,1,0,0,1,1
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84,4,0,6,0,4,1,0,1
Ibo Aslan,"6' 3""",205 lbs.,,,23-Apr-96,0,0,0,0,0,0,0,0
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,11-Apr-93,7,1,3,1,4,1,0,2
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,23-May-92,1,0,3,0,2,1,1,1
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,3,1,2,0,2,0,1,1
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,3,0,2,1,1,0,1,0
